,ns,host,time,value,plugin_running_on,swan_loadpoint_qps,achieved_qps_percent,swan_experiment,swan_aggressor_name,swan_phase,swan_repetition,throughputs
1038,/intel/swan/mutilate/ovh8/std,ovh8,2016-12-19 16:18:59.351,236.1,ovh8,375000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 14;,0,17.0
1039,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-19 17:03:26.699,66.3,ovh8,500000,100.02%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 19;,0,35.0
1040,/intel/swan/mutilate/ovh8/percentile/90th,ovh8,2016-12-20 01:56:32.269,349.0,ovh8,500000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 19;,0,
1041,/intel/swan/mutilate/ovh8/percentile/90th,ovh8,2016-12-20 06:59:05.139,275.6,ovh8,350000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Data,Aggressor L1 Data; load point 13;,0,
1042,/intel/swan/mutilate/ovh8/percentile/95th,ovh8,2016-12-19 17:47:33.674,222.7,ovh8,125000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 4;,0,
1043,/intel/swan/mutilate/ovh8/percentile/95th,ovh8,2016-12-19 21:12:06.396,251.2,ovh8,200000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 7;,0,
1044,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-19 17:38:47.125,276.2,ovh8,100000,99.96%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 3;,0,
1045,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-20 07:43:23.736,471.4,ovh8,475000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Data,Aggressor L1 Data; load point 18;,0,
1046,/intel/swan/mutilate/ovh8/percentile/10th,ovh8,2016-12-19 13:03:47.915,126.3,ovh8,325000,100.02%,7be3c448-4fa2-4178-75aa-e23d292d4030,None,Aggressor None; load point 12;,0,
1047,/intel/swan/mutilate/ovh8/avg,ovh8,2016-12-19 15:16:43.641,170.4,ovh8,200000,99.98%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 7;,0,55.0
1048,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-20 02:49:50.312,282.0,ovh8,150000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Instruction,Aggressor L1 Instruction; load point 5;,0,
1049,/intel/swan/mutilate/ovh8/std,ovh8,2016-12-19 22:49:59.776,114.7,ovh8,475000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 18;,0,
